نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, الرياض , حي الرمال ,شرقية,430,0,5,4,5,0,0,1,0,0,1,1,0,0,1,0,2500000
أرض,سكني, الرياض , حي النرجس ,جنوبية,1200,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000
فيلا,سكني, امارة منطقة الرياض, الرياض ,غربية,250,0,5,1,5,18,1,1,1,0,0,0,0,0,0,0,1450000
فيلا,سكني, الرياض , حي العارض ,غربية,200,0,4,2,5,0,1,0,1,0,0,1,0,0,1,1,2100000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,900,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,212,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,غربية,954,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680202
فيلا,سكني, امارة منطقة الرياض, الرياض ,غربية,300,0,5,5,5,0,1,0,1,0,1,1,0,0,1,1,2350000
أرض,سكني, الرياض , حي اليرموك ,ثلاث شوارع,1650,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920000
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية غربية,250,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
أرض,سكني, الرياض , حي حطين ,ثلاث شوارع,2000,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000
أرض,تجاري وسكني, الرياض , حي النظيم ,غربية,590,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360000
فيلا,سكني, الرياض , حي حطين ,شمالية,500,0,7,2,5,15,1,1,1,1,1,1,0,0,1,0,6300000
أرض,سكني, الرياض , حي النرجس ,شرقية,525,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467500
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,جنوبية,1089,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3593700
فيلا,سكني, الرياض , حي السعادة ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350000
فيلا,سكني, الرياض , حي الاندلس ,شمالية,750,0,6,4,5,12,1,1,1,1,1,1,0,0,1,0,3300000
أرض,سكني, الرياض , حي البيان ,شمالية,375,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250000
أرض,تجاري وسكني, الرياض , حي الشعلة ,شرقية,918,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866592
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,382,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611200
أرض,تجاري, حريملاء, الرياض ,غربية,375,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000
فيلا,سكني, الرياض , حي الفلاح ,جنوبية,392,0,5,2,5,0,1,1,1,1,1,1,0,0,1,0,4500000
أرض,سكني, الرياض , حي خشم العان ,أربع شوارع,10000,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000000
أرض,سكني, الدرعية, العيينة ,شمالية,937,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201950
أرض,تجاري وسكني, الرياض , حي النرجس ,شرقية,900,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400000
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية,469,0,7,4,5,0,1,1,1,1,1,1,0,0,1,1,1700000
أرض,سكني, الرياض , حي المشرق ,شمالية,750,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000
فيلا,سكني, الرياض , حي النظيم ,جنوبية,500,0,4,4,3,0,1,1,0,0,1,1,0,0,1,0,1550000
أرض,تجاري, الرياض , حي القيروان ,غربية,600,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840000
فيلا,سكني, الرياض , حي الرمال ,جنوبية,250,0,5,2,5,0,1,1,1,0,1,1,0,0,1,0,1300000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية,275,0,5,2,3,0,1,0,1,0,0,0,0,0,1,1,1825000
أرض,سكني, الرياض , حي حطين ,شمالية شرقية,1050,8572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000600
فيلا,سكني, الرياض , حي الروضة ,غربية,355,0,7,2,5,0,1,1,1,0,0,1,0,0,1,1,2600000
فيلا,سكني, الرياض , حي قرطبة ,شمالية,225,0,5,2,5,0,1,1,1,0,1,1,0,0,1,0,2350000
أرض,سكني, الرياض , حي النرجس ,شمالية,370,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665000
أرض,تجاري وسكني, حريملاء, الرياض ,غربية,750,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000
أرض,تجاري وسكني, الرياض , حي النسيم الغربي ,شمالية,437,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808450
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,624,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744000
أرض,سكني, الرياض , حي الملقا ,ثلاث شوارع,6372,8631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54996732
فيلا,سكني, الرياض , حي طويق ,شمالية,200,0,5,3,5,20,1,1,1,0,1,1,0,0,1,0,980000
فيلا,سكني, الرياض , حي العارض ,شمالية,204,0,6,3,5,0,1,0,1,0,0,1,0,0,1,1,2000000
فيلا,سكني, الرياض , حي بدر ,شمالية,225,0,4,2,4,0,0,0,0,0,1,1,0,0,1,0,750000
فيلا,سكني, الرياض , حي النفل ,غربية,324,0,5,2,4,0,1,1,1,0,1,1,0,0,1,0,2500000
أرض,سكني, حريملاء, ملهم ,شمالية,312,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436800
فيلا,سكني, الرياض , حي الحزم ,شمالية غربية,220,0,3,2,5,15,1,1,1,0,1,0,0,0,1,0,1100000
أرض,سكني, الرياض , حي الرمال ,شمالية شرقية,580,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508000
أرض,سكني, الرياض , حي المونسية ,جنوبية شرقية,252,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية شرقية,1050,8572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000600
أرض,سكني, الرياض , حي النرجس ,جنوبية غربية,1400,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200000
أرض,سكني, حريملاء, الرياض ,جنوبية,2254,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028600
أرض,سكني, الرياض , حي طويق ,جنوبية,11930,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26246000
أرض,تجاري, امارة منطقة الرياض, الرياض ,جنوبية غربية,900,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699300
فيلا,سكني, الرياض , حي المهدية ,جنوبية,225,0,5,3,5,25,1,1,1,0,0,1,0,0,1,0,1350000
فيلا,سكني, الرياض , حي طويق ,شمالية,200,0,7,2,5,20,1,1,0,0,1,1,0,0,0,0,1050000
أرض,سكني, الرياض , ضاحية نمار ,جنوبية,2311,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848800
فيلا,سكني, الرياض , حي الحزم ,غربية,300,0,7,2,5,0,1,0,1,0,1,1,0,0,1,0,1200000
فيلا,سكني, الرياض , حي الشفا ,غربية,218,0,5,1,5,0,1,1,1,0,0,1,0,0,1,0,750000
أرض,سكني, الرياض , حي ظهرة لبن ,جنوبية,1200,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000
فيلا,سكني, الرياض , حي النرجس ,غربية,375,0,5,3,5,0,1,0,1,1,0,0,0,0,0,0,4400000
فيلا,سكني, الرياض , حي السعادة ,غربية,300,0,5,1,3,5,0,1,0,0,0,1,0,0,1,0,1600000
فيلا,سكني, الرياض , حي الرحمانية ,شمالية,300,0,4,2,5,20,1,1,1,1,0,1,0,0,1,1,4500000
فيلا,سكني, الرياض , حي بدر ,شرقية,527,0,7,3,5,15,1,1,1,0,1,1,0,0,1,1,1680000
أرض,سكني, الرياض , حي المهدية ,جنوبية,2000,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000
فيلا,سكني, الرياض , حي الرمال ,جنوبية,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850000
أرض,تجاري وسكني, الرياض , حي العارض ,شمالية,630,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835000
فيلا,سكني, الرياض , حي ظهرة لبن ,جنوبية,450,0,7,3,5,0,1,1,1,1,1,1,0,0,1,0,2000000
فيلا,سكني, الرياض , حي السلام ,غربية,500,0,7,0,5,15,0,1,1,1,1,1,0,0,1,0,1800000
فيلا,سكني, الرياض , حي المونسية ,شمالية,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350000
أرض,سكني, حريملاء, الرياض ,شرقية,375,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545625
أرض,سكني, الرياض , حي المهدية ,غربية,399,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334150
فيلا,سكني, الرياض , حي القادسية ,جنوبية شرقية,337,0,1,1,5,0,1,1,1,0,0,0,0,0,1,1,1950000
فيلا,سكني, الرياض , حي النسيم الغربي ,غربية,500,0,7,2,2,10,0,1,0,0,0,0,0,0,1,0,1250000
أرض,سكني, الدرعية, العيينة ,شمالية,750,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
أرض,تجاري وسكني, الرياض , حي طويق ,شرقية,870,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262000
أرض,سكني, الرياض , حي المهدية ,شمالية,300,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020000
